Year,Week,Load 1,Discharge 1,Voyage 1,Line 1,Load 2,Discharge 2,Voyage 2,Line 2,Full/Empty,ContainerType,ContainerSize,Owner,ContractType,Total
2025,1,IS REY,SE HEL,BRU452,Red Line,,,,,E,42P3,40.0,CARRIER,PURCHASE_AGREEMENT,1
2025,1,IS RFJ,DE BRV,BRU452,Red Line,,,,,F,LNRB,45.0,CARRIER,PURCHASE_AGREEMENT,1
2025,1,IS RFJ,DE BRV,BRU452,Red Line,,,,,F,LNRB,45.0,CARRIER,LONG,2
2025,1,IS RFJ,DE BRV,BRU452,Red Line,,,,,F,45R1,40.0,CARRIER,LONG,3
2025,1,IS RFJ,DE BRV,BRU452,Red Line,,,,,F,LNRB,45.0,LEASED,PURCHASE,1
2025,1,IS RFJ,FO THO,BRU452,Red Line,FO THO,GB IMM,LAG502,Yellow Line,F,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,2
2025,1,IS VES,DK AAR,SKO501,Yellow Line,,,,,F,45G1,40.0,LEASED,ONEWAY,1
2025,1,IS VES,FO THO,SKO501,Yellow Line,FO THO,DE BRV,BRU452,Red Line,F,45R1,40.0,CARRIER,LONG,1
2025,1,SE HEL,IS REY,LAG452,Yellow Line,,,,,F,42G1,40.0,CARRIER,PURCHASE_AGREEMENT,1
2025,1,SE HEL,IS REY,LAG452,Yellow Line,IS REY,US PWM,BAK502,Green Line,F,45G1,40.0,CARRIER,LONG,1
2025,1,SE HEL,IS REY,LAG452,Yellow Line,,,,,F,4EG1,40.0,CARRIER,LONG,3
2025,1,SE HEL,IS REY,LAG452,Yellow Line,,,,,F,45G1,40.0,LEASED,PURCHASE,1
2025,1,SE HEL,IS REY,LAG452,Yellow Line,,,,,F,42G1,40.0,LEASED,PURCHASE,1
2025,1,US PWM,CA HAL,VIV452,Green Line,,,,,E,42P3,40.0,LEASED,MASTER,1
2025,1,US PWM,IS REY,VIV452,Green Line,,,,,F,22G1,20.0,CARRIER,PURCHASE_AGREEMENT,1
2025,1,US PWM,IS REY,VIV452,Green Line,IS REY,GB IMM,SKO503,Yellow Line,F,45G1,40.0,CARRIER,PURCHASE_AGREEMENT,1
2025,1,US PWM,IS REY,VIV452,Green Line,IS REY,DE BRV,SKO503,Yellow Line,F,45G1,40.0,CARRIER,PURCHASE_AGREEMENT,1
2025,1,US PWM,IS REY,VIV452,Green Line,,,,,F,45G1,40.0,CARRIER,CABOTAGE,3
2025,1,US PWM,IS REY,VIV452,Green Line,,,,,F,22G1,20.0,CARRIER,LONG,1
2025,1,US PWM,IS REY,VIV452,Green Line,IS REY,DK AAR,BRU503,Red Line,F,22G1,20.0,CARRIER,LONG,1
2025,1,US PWM,IS REY,VIV452,Green Line,IS REY,DK AAR,BRU503,Red Line,F,45G1,40.0,LEASED,MASTER,1
2025,2,CA HAL,IS REY,VIV452,Green Line,,,,,F,45P3,40.0,CARRIER,LONG,1
2025,2,CA NWP,IS REY,VIV452,Green Line,IS REY,FO THO,BRU503,Red Line,F,22G1,20.0,LEASED,MASTER,1
2025,2,DE BRV,DK AAR,BRU452,Red Line,,,,,E,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,3
2025,2,DE BRV,IS REY,BRU452,Red Line,,,,,F,45G1,40.0,CARRIER,PURCHASE_AGREEMENT,1
2025,2,DE BRV,IS REY,BRU452,Red Line,,,,,F,45G1,40.0,CARRIER,CABOTAGE,1
2025,2,DE BRV,IS REY,BRU452,Red Line,IS REY,US PWM,VIV503,Green Line,F,45G1,40.0,CARRIER,LONG,1
2025,2,DE BRV,IS REY,BRU452,Red Line,,,,,F,22G1,20.0,CARRIER,LONG,1
2025,2,DE BRV,IS REY,BRU452,Red Line,IS REY,US PWM,VIV503,Green Line,F,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,1
2025,2,DE BRV,IS REY,BRU452,Red Line,IS REY,FO THO,SKO503,Yellow Line,F,45R1,40.0,CARRIER,LONG,1
2025,2,DE BRV,SE HEL,BRU452,Red Line,,,,,E,4EG1,40.0,CARRIER,LONG,3
2025,2,DK AAR,FO THO,SKO501,Yellow Line,,,,,F,42P3,40.0,CARRIER,PURCHASE_AGREEMENT,1
2025,2,DK AAR,FO THO,SKO501,Yellow Line,,,,,F,4EG1,40.0,CARRIER,LONG,1
2025,2,DK AAR,FO THO,SKO501,Yellow Line,,,,,F,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,1
2025,2,DK AAR,FO THO,SKO501,Yellow Line,,,,,F,45R1,40.0,LEASED,MASTER,1
2025,2,DK AAR,IS REY,SKO501,Yellow Line,,,,,F,22G1,20.0,CARRIER,PURCHASE_AGREEMENT,2
2025,2,DK AAR,IS REY,BRU452,Red Line,,,,,F,22G1,20.0,CARRIER,CABOTAGE,3
2025,2,DK AAR,IS REY,BRU452,Red Line,,,,,F,45G1,40.0,CARRIER,LONG,15
2025,2,DK AAR,IS REY,BRU452,Red Line,,,,,F,42P3,40.0,CARRIER,LONG,2
2025,2,DK AAR,IS REY,BRU452,Red Line,,,,,F,4EG1,40.0,CARRIER,LONG,2
2025,2,DK AAR,IS REY,BRU452,Red Line,,,,,F,45P3,40.0,CARRIER,LONG,2
2025,2,DK AAR,IS REY,BRU452,Red Line,IS REY,IS RFJ,BRU503,Red Line,F,4EG1,40.0,CARRIER,LONG,1
2025,2,DK AAR,IS REY,BRU452,Red Line,IS REY,US PWM,VIV503,Green Line,F,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,3
2025,2,DK AAR,IS REY,SKO501,Yellow Line,,,,,F,45G1,40.0,LEASED,ONEWAY,1
2025,2,DK AAR,IS REY,BRU452,Red Line,,,,,F,45R1,40.0,LEASED,ONEWAY,1
2025,2,FO THO,DE BRV,DET501,Red Line,,,,,E,45G1,40.0,CARRIER,CABOTAGE,1
2025,2,FO THO,DE BRV,DET501,Red Line,,,,,E,42P3,40.0,LEASED,MASTER,1
2025,2,FO THO,DK AAR,DET501,Red Line,,,,,F,45G1,40.0,CARRIER,LONG,1
2025,2,FO THO,DK AAR,DET501,Red Line,,,,,F,45U1,40.0,LEASED,ONEWAY,1
2025,2,FO THO,DK AAR,DET501,Red Line,,,,,E,22G1,20.0,LEASED,MASTER,1
2025,2,FO THO,GB IMM,LAG502,Yellow Line,,,,,F,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,1
2025,2,FO THO,GB IMM,LAG502,Yellow Line,,,,,F,LNRB,45.0,CARRIER,LONG,3
2025,2,FO THO,IS REY,SKO501,Yellow Line,,,,,E,22G1,20.0,CARRIER,CABOTAGE,1
2025,2,FO THO,IS REY,SKO501,Yellow Line,IS REY,NL RTM,JOR503,Blue Line,E,22R1,20.0,LEASED,ONEWAY,1
2025,2,FO THO,IS REY,SKO501,Yellow Line,IS REY,NL RTM,JOR503,Blue Line,F,4EG1,40.0,CARRIER,LONG,1
2025,2,FO THO,IS REY,SKO501,Yellow Line,IS REY,US PWM,VIV503,Green Line,F,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,1
2025,2,FO THO,IS REY,SKO501,Yellow Line,,,,,F,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,1
2025,2,FO THO,IS REY,SKO501,Yellow Line,IS REY,US PWM,VIV503,Green Line,F,22G1,20.0,SHIPPER,,1
2025,2,FO THO,IS REY,SKO501,Yellow Line,,,,,F,42P3,40.0,SHIPPER,,1
2025,2,FO THO,NO FRK,LAG502,Yellow Line,,,,,F,45R1,40.0,CARRIER,LONG,1
2025,2,FO THO,NO FRK,LAG502,Yellow Line,,,,,F,22K0,20.0,SHIPPER,,1
2025,2,GB IMM,FO THO,SKO501,Yellow Line,,,,,E,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,1
2025,2,GB IMM,FO THO,SKO501,Yellow Line,,,,,E,LNRB,45.0,CARRIER,LONG,1
2025,2,GB IMM,IS REY,SKO501,Yellow Line,,,,,F,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,1
2025,2,GB IMM,IS REY,SKO501,Yellow Line,IS REY,US PWM,VIV503,Green Line,F,45R1,40.0,CARRIER,LONG,1
2025,2,GB IMM,IS REY,SKO501,Yellow Line,,,,,E,45P3,40.0,CARRIER,PURCHASE_AGREEMENT,1
2025,2,GB TEE,IS REY,JOR501,Blue Line,,,,,F,45G1,40.0,CARRIER,CABOTAGE,1
2025,2,GB TEE,IS REY,JOR501,Blue Line,,,,,F,45G1,40.0,CARRIER,CABOTAGE,1
2025,2,GB TEE,IS REY,JOR501,Blue Line,IS REY,CA HAL,VIV503,Green Line,F,45G1,40.0,CARRIER,LONG,1
2025,2,GB TEE,IS REY,JOR501,Blue Line,,,,,F,45G1,40.0,CARRIER,LONG,1
2025,2,GB TEE,IS REY,JOR501,Blue Line,,,,,F,42P3,40.0,CARRIER,LONG,2
2025,2,IS REY,SE HEL,BRU503,Red Line,,,,,F,45G1,40.0,CARRIER,PURCHASE_AGREEMENT,1
2025,2,IS REY,GB IMM,SKO503,Yellow Line,,,,,F,45R1,40.0,CARRIER,LONG,1
2025,2,IS REY,FO THO,SKO503,Yellow Line,,,,,F,45R1,40.0,CARRIER,LONG,1
2025,2,IS GRT,IS REY,VED502,Blue Line,IS REY,US PWM,VIV503,Green Line,F,22G1,20.0,CARRIER,PURCHASE_AGREEMENT,1
2025,2,IS GRT,IS REY,VED502,Blue Line,IS REY,GB IMM,LAG504,Yellow Line,F,45P3,40.0,CARRIER,LONG,6
2025,2,IS GRT,IS REY,VED502,Blue Line,IS REY,GB IMM,LAG504,Yellow Line,F,42P3,40.0,LEASED,MASTER,1
2025,2,IS GRT,NL RTM,VED502,Blue Line,,,,,F,22GB,20.0,CARRIER,PURCHASE_AGREEMENT,3
2025,2,IS GRT,NL RTM,VED502,Blue Line,,,,,F,22GB,20.0,CARRIER,CABOTAGE,1
2025,2,IS GRT,NL RTM,VED502,Blue Line,,,,,F,42P3,40.0,LEASED,MASTER,1
2025,2,IS GRT,NL RTM,VED502,Blue Line,,,,,F,22G1,20.0,LEASED,MASTER,5
2025,2,IS GRT,NL RTM,VED502,Blue Line,,,,,F,22GB,20.0,LEASED,MASTER,1
2025,2,IS REY,NL RTM,JOR503,Blue Line,,,,,F,22G1,20.0,CARRIER,CABOTAGE,4
2025,2,IS REY,NL RTM,JOR503,Blue Line,,,,,F,22GB,20.0,CARRIER,CABOTAGE,1
2025,2,IS REY,DE BRV,SKO503,Yellow Line,,,,,F,22G1,20.0,LEASED,MASTER,1
2025,2,IS REY,DK AAR,SKO503,Yellow Line,,,,,F,45G1,40.0,LEASED,ONEWAY,1
2025,2,IS REY,DK AAR,SKO503,Yellow Line,,,,,F,45U1,40.0,CARRIER,LONG,2
2025,2,IS REY,GB IMM,SKO503,Yellow Line,,,,,F,45R1,40.0,CARRIER,LONG,1
2025,2,IS REY,CA HAL,BAK502,Green Line,,,,,F,45R1,40.0,CARRIER,LONG,6
2025,2,IS REY,DE BRV,DET501,Red Line,,,,,E,45G1,40.0,LEASED,ONEWAY,1
2025,2,IS REY,DE BRV,DET501,Red Line,,,,,F,45G1,40.0,CARRIER,LONG,2
2025,2,IS REY,DE BRV,DET501,Red Line,,,,,F,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,1
2025,2,IS REY,DK AAR,DET501,Red Line,,,,,E,45U1,40.0,LEASED,ONEWAY,1
2025,2,IS REY,DK AAR,DET501,Red Line,,,,,F,22G1,20.0,CARRIER,LONG,1
2025,2,IS REY,DK AAR,DET501,Red Line,,,,,F,45G1,40.0,CARRIER,LONG,1
2025,2,IS REY,DK AAR,DET501,Red Line,,,,,E,22K0,20.0,CARRIER,LONG,1
2025,2,IS REY,DK AAR,DET501,Red Line,,,,,F,45R1,40.0,LEASED,ONEWAY,4
2025,2,IS REY,FO THO,LAG502,Yellow Line,,,,,F,4EG1,40.0,CARRIER,LONG,1
2025,2,IS REY,FO THO,DET501,Red Line,,,,,E,LNRB,45.0,CARRIER,PURCHASE_AGREEMENT,1
2025,2,IS REY,FO THO,DET501,Red Line,,,,,E,LNRB,45.0,LEASED,PURCHASE,1
2025,2,IS REY,GB IMM,LAG502,Yellow Line,,,,,F,22H5,20.0,CARRIER,PURCHASE_AGREEMENT,1
2025,2,IS REY,GB TEE,VED502,Blue Line,,,,,E,45R1,40.0,CARRIER,LONG,5
2025,2,IS REY,GB TEE,VED502,Blue Line,,,,,E,22G1,20.0,LEASED,MASTER,1
2025,2,IS REY,IS RFJ,DET501,Red Line,,,,,F,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,1
2025,2,IS REY,IS RFJ,DET501,Red Line,,,,,F,25G1,20.0,SHIPPER,,1
2025,2,IS REY,NL RTM,VED502,Blue Line,,,,,E,42G1,40.0,LEASED,ONEWAY,1
2025,2,IS REY,NL RTM,VED502,Blue Line,,,,,F,45G1,40.0,CARRIER,PURCHASE_AGREEMENT,1
2025,2,IS REY,NL RTM,VED502,Blue Line,,,,,F,45G1,40.0,CARRIER,CABOTAGE,2
2025,2,IS REY,NL RTM,VED502,Blue Line,,,,,F,45G1,40.0,LEASED,ONEWAY,1
2025,2,IS REY,NL RTM,VED502,Blue Line,,,,,E,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,8
2025,2,IS REY,NL RTM,VED502,Blue Line,,,,,E,45R1,40.0,CARRIER,LONG,6
2025,2,IS REY,NO FRK,LAG502,Yellow Line,,,,,E,22G1,20.0,CARRIER,LONG,2
2025,2,IS REY,NO FRK,LAG502,Yellow Line,,,,,E,42P3,40.0,CARRIER,LONG,2
2025,2,IS REY,NO FRK,LAG502,Yellow Line,,,,,E,22G1,20.0,LEASED,MASTER,1
2025,2,IS REY,NO FRK,LAG502,Yellow Line,,,,,E,42P3,40.0,LEASED,PURCHASE,1
2025,2,IS REY,SE HEL,DET501,Red Line,,,,,F,45G1,40.0,CARRIER,LONG,21
2025,2,IS REY,SE HEL,DET501,Red Line,,,,,E,4EG1,40.0,LEASED,MASTER,1
2025,2,IS REY,SE HEL,DET501,Red Line,,,,,E,42G1,40.0,LEASED,PURCHASE,2
2025,2,IS REY,US PWM,BAK502,Green Line,,,,,F,45G1,40.0,CARRIER,PURCHASE_AGREEMENT,1
2025,2,IS REY,US PWM,BAK502,Green Line,,,,,F,45G1,40.0,CARRIER,CABOTAGE,1
2025,2,IS REY,US PWM,BAK502,Green Line,,,,,F,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,1
2025,2,IS REY,US PWM,BAK502,Green Line,,,,,F,45R1,40.0,CARRIER,LONG,1
2025,2,IS RFJ,DE BRV,DET501,Red Line,,,,,F,LNRB,45.0,LEASED,PURCHASE,1
2025,2,IS RFJ,DK AAR,DET501,Red Line,,,,,F,45R1,40.0,LEASED,ONEWAY,1
2025,2,IS RFJ,FO THO,DET501,Red Line,FO THO,GB IMM,LAG502,Yellow Line,F,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,1
2025,2,IS RFJ,FO THO,DET501,Red Line,FO THO,IS REY,SKO501,Yellow Line,F,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,2
2025,2,IS RFJ,FO THO,DET501,Red Line,,,,,F,45R1,40.0,CARRIER,LONG,1
2025,2,IS REY,NL RTM,JOR503,Blue Line,,,,,F,45R1,40.0,CARRIER,LONG,1
2025,2,IS VES,FO THO,LAG502,Yellow Line,FO THO,IS REY,SKO501,Yellow Line,E,22G1,20.0,LEASED,ONEWAY,1
2025,2,NL RTM,IS GRT,JOR501,Blue Line,,,,,F,22GB,20.0,CARRIER,LONG,1
2025,2,NL RTM,IS GRT,JOR501,Blue Line,,,,,F,22G1,20.0,LEASED,MASTER,1
2025,2,NL RTM,IS GRT,JOR501,Blue Line,,,,,E,22GB,20.0,CARRIER,LONG,2
2025,2,NL RTM,IS GRT,JOR501,Blue Line,,,,,E,42P3,40.0,LEASED,MASTER,1
2025,2,NL RTM,IS GRT,JOR501,Blue Line,,,,,E,22G1,20.0,LEASED,MASTER,1
2025,2,NL RTM,IS GRT,JOR501,Blue Line,,,,,E,22G1,20.0,LEASED,PURCHASE,1
2025,2,NL RTM,IS REY,JOR501,Blue Line,,,,,F,45P3,40.0,CARRIER,PURCHASE_AGREEMENT,1
2025,2,NL RTM,IS REY,JOR501,Blue Line,IS REY,US PWM,VIV503,Green Line,F,45G1,40.0,CARRIER,LONG,5
2025,2,NL RTM,IS REY,JOR501,Blue Line,IS REY,CA HAL,VIV503,Green Line,F,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,1
2025,2,NL RTM,IS REY,JOR501,Blue Line,,,,,F,45RB,40.0,CARRIER,PURCHASE_AGREEMENT,1
2025,2,NL RTM,IS REY,JOR501,Blue Line,,,,,F,45G1,40.0,LEASED,ONEWAY,5
2025,2,SE HEL,IS REY,BRU452,Red Line,,,,,F,45G1,40.0,CARRIER,PURCHASE_AGREEMENT,2
2025,2,SE HEL,IS REY,BRU452,Red Line,,,,,F,45G1,40.0,CARRIER,LONG,1
2025,2,SE HEL,IS REY,BRU452,Red Line,,,,,F,4EG1,40.0,CARRIER,LONG,1
2025,3,CA HAL,IS REY,BAK502,Green Line,,,,,F,42P3,40.0,CARRIER,LONG,1
2025,3,CA HAL,IS REY,BAK502,Green Line,IS REY,NL RTM,JOR505,Blue Line,F,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,2
2025,3,CA HAL,IS REY,BAK502,Green Line,IS REY,DK AAR,DET504,Red Line,F,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,1
2025,3,CA HAL,IS REY,BAK502,Green Line,IS REY,IS RFJ,DET504,Red Line,F,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,1
2025,3,CA HAL,IS REY,BAK502,Green Line,IS REY,GB IMM,SKO505,Yellow Line,F,45R1,40.0,CARRIER,LONG,1
2025,3,CA HAL,IS REY,BAK502,Green Line,IS REY,DE BRV,DET504,Red Line,F,45R1,40.0,CARRIER,LONG,1
2025,3,CA HAL,IS REY,BAK502,Green Line,IS REY,DK AAR,DET504,Red Line,F,45R1,40.0,CARRIER,LONG,1
2025,3,CA HAL,IS REY,BAK502,Green Line,IS REY,IS RFJ,DET504,Red Line,F,45R1,40.0,CARRIER,LONG,1
2025,3,CA HAL,IS REY,BAK502,Green Line,,,,,E,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,4
2025,3,DE BRV,IS REY,DET501,Red Line,IS REY,US PWM,AVA504,Green Line,F,45G1,40.0,CARRIER,PURCHASE_AGREEMENT,2
2025,3,DE BRV,IS REY,DET501,Red Line,,,,,F,45G1,40.0,CARRIER,PURCHASE_AGREEMENT,2
2025,3,DE BRV,IS REY,DET501,Red Line,IS REY,US PWM,BAK505,Green Line,F,45G1,40.0,CARRIER,PURCHASE_AGREEMENT,1
2025,3,DE BRV,IS REY,DET501,Red Line,IS REY,US PWM,AVA504,Green Line,F,45G1,40.0,CARRIER,CABOTAGE,1
2025,3,DE BRV,IS REY,DET501,Red Line,,,,,F,42P3,40.0,CARRIER,LONG,1
2025,3,DE BRV,IS REY,DET501,Red Line,IS REY,US PWM,BAK505,Green Line,F,42P3,40.0,CARRIER,LONG,1
2025,3,DE BRV,IS REY,DET501,Red Line,IS REY,CA NWP,BAK505,Green Line,F,45U1,40.0,CARRIER,LONG,1
2025,3,DE BRV,IS REY,DET501,Red Line,,,,,F,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,2
2025,3,DE BRV,IS REY,DET501,Red Line,IS REY,US PWM,AVA504,Green Line,F,45R1,40.0,CARRIER,LONG,1
2025,3,DE BRV,IS REY,DET501,Red Line,,,,,F,42P3,40.0,LEASED,MASTER,1
